CVE,CVSS,EPSS,KEV,Priority
CVE-2015-2051,9.8,0.93183,1,184.5915
CVE-2020-8644,9.8,0.93148,1,184.574
CVE-2020-2555,9.8,0.93141,1,184.57049999999998
CVE-2018-4878,9.8,0.93139,1,184.5695
CVE-2020-15415,9.8,0.93115,1,184.5575
CVE-2021-31166,9.8,0.93069,1,184.5345
CVE-2011-3544,9.8,0.93041,1,184.5205
CVE-2009-1151,9.8,0.93032,1,184.51600000000002
CVE-2016-4117,9.8,0.92942,1,184.471
CVE-2015-1427,9.8,0.92917,1,184.45850000000002
CVE-2023-42793,9.8,0.92913,1,184.4565
CVE-2024-21762,9.8,0.9291,1,184.45499999999998
CVE-2020-14871,10.0,0.88872,1,184.436
CVE-2015-0313,9.8,0.92841,1,184.4205
CVE-2015-0311,9.8,0.92745,1,184.3725
CVE-2015-3113,9.8,0.92708,1,184.35399999999998
CVE-2018-11138,9.8,0.92691,1,184.34550000000002
CVE-2019-5544,9.8,0.92688,1,184.344
CVE-2015-4852,9.8,0.92644,1,184.322
CVE-2015-5122,9.8,0.92583,1,184.29149999999998
CVE-2010-0840,9.8,0.92554,1,184.277
CVE-2011-2462,9.8,0.9255,1,184.275
CVE-2012-5076,9.8,0.92378,1,184.189
CVE-2013-0632,9.8,0.92372,1,184.186
CVE-2022-26318,9.8,0.92371,1,184.1855
CVE-2017-11317,9.8,0.92279,1,184.1395
CVE-2022-21445,9.8,0.9219,1,184.095
CVE-2019-12989,9.8,0.92148,1,184.074
CVE-2016-20017,9.8,0.92147,1,184.0735
CVE-2024-55956,9.8,0.921,1,184.05
CVE-2024-13160,9.8,0.91971,1,183.9855
CVE-2016-10174,9.8,0.9184,1,183.92000000000002
CVE-2020-4427,9.8,0.91829,1,183.9145
CVE-2023-25280,9.8,0.91809,1,183.90449999999998
CVE-2018-19410,9.8,0.91753,1,183.8765
CVE-2025-3248,9.8,0.91417,1,183.70850000000002
CVE-2019-4716,9.8,0.91334,1,183.667
CVE-2022-3236,9.8,0.91035,1,183.51749999999998
CVE-2024-5910,9.8,0.91029,1,183.5145
CVE-2022-29499,9.8,0.90941,1,183.47050000000002
